month,total.total
2001-01-01T00:00:00.000Z,0
2001-02-01T00:00:00.000Z,0
2001-03-01T00:00:00.000Z,0
2001-04-01T00:00:00.000Z,0
2001-05-01T00:00:00.000Z,0
2001-06-01T00:00:00.000Z,0
2001-07-01T00:00:00.000Z,0
2001-08-01T00:00:00.000Z,0
2001-09-01T00:00:00.000Z,0
2001-10-01T00:00:00.000Z,0
2001-11-01T00:00:00.000Z,0
2001-12-01T00:00:00.000Z,0
2002-01-01T00:00:00.000Z,0
2002-02-01T00:00:00.000Z,0
2002-03-01T00:00:00.000Z,0
2002-04-01T00:00:00.000Z,0
2002-05-01T00:00:00.000Z,0
2002-06-01T00:00:00.000Z,0
2002-07-01T00:00:00.000Z,0
2002-08-01T00:00:00.000Z,0
2002-09-01T00:00:00.000Z,1
2002-10-01T00:00:00.000Z,2
2002-11-01T00:00:00.000Z,2
2002-12-01T00:00:00.000Z,12
2003-01-01T00:00:00.000Z,13
2003-02-01T00:00:00.000Z,15
2003-03-01T00:00:00.000Z,15
2003-04-01T00:00:00.000Z,15
2003-05-01T00:00:00.000Z,50
2003-06-01T00:00:00.000Z,55
2003-07-01T00:00:00.000Z,55
2003-08-01T00:00:00.000Z,55
2003-09-01T00:00:00.000Z,56
2003-10-01T00:00:00.000Z,57
2003-11-01T00:00:00.000Z,59
2003-12-01T00:00:00.000Z,65
2004-01-01T00:00:00.000Z,90
2004-02-01T00:00:00.000Z,111
2004-03-01T00:00:00.000Z,129
2004-04-01T00:00:00.000Z,172
2004-05-01T00:00:00.000Z,226
2004-06-01T00:00:00.000Z,242
2004-07-01T00:00:00.000Z,275
2004-08-01T00:00:00.000Z,302
2004-09-01T00:00:00.000Z,339
2004-10-01T00:00:00.000Z,387
2004-11-01T00:00:00.000Z,460
2004-12-01T00:00:00.000Z,562
2005-01-01T00:00:00.000Z,606
2005-02-01T00:00:00.000Z,674
2005-03-01T00:00:00.000Z,760
2005-04-01T00:00:00.000Z,846
2005-05-01T00:00:00.000Z,917
2005-06-01T00:00:00.000Z,1252
2005-07-01T00:00:00.000Z,1328
2005-08-01T00:00:00.000Z,1450
2005-09-01T00:00:00.000Z,1573
2005-10-01T00:00:00.000Z,1720
2005-11-01T00:00:00.000Z,1858
2005-12-01T00:00:00.000Z,2105
2006-01-01T00:00:00.000Z,2431
2006-02-01T00:00:00.000Z,2644
2006-03-01T00:00:00.000Z,2849
2006-04-01T00:00:00.000Z,3061
2006-05-01T00:00:00.000Z,3298
2006-06-01T00:00:00.000Z,3581
2006-07-01T00:00:00.000Z,3820
2006-08-01T00:00:00.000Z,4310
2006-09-01T00:00:00.000Z,4690
2006-10-01T00:00:00.000Z,5280
2006-11-01T00:00:00.000Z,5909
2006-12-01T00:00:00.000Z,6610
2007-01-01T00:00:00.000Z,7543
2007-02-01T00:00:00.000Z,8067
2007-03-01T00:00:00.000Z,9001
2007-04-01T00:00:00.000Z,9865
2007-05-01T00:00:00.000Z,10574
2007-06-01T00:00:00.000Z,11638
2007-07-01T00:00:00.000Z,12671
2007-08-01T00:00:00.000Z,13662
2007-09-01T00:00:00.000Z,16288
2007-10-01T00:00:00.000Z,17616
2007-11-01T00:00:00.000Z,19567
2007-12-01T00:00:00.000Z,21601
2008-01-01T00:00:00.000Z,23074
2008-02-01T00:00:00.000Z,23972
2008-03-01T00:00:00.000Z,24952
2008-04-01T00:00:00.000Z,26128
2008-05-01T00:00:00.000Z,27906
2008-06-01T00:00:00.000Z,29504
2008-07-01T00:00:00.000Z,30801
2008-08-01T00:00:00.000Z,32168
2008-09-01T00:00:00.000Z,33261
2008-10-01T00:00:00.000Z,34786
2008-11-01T00:00:00.000Z,36004
2008-12-01T00:00:00.000Z,37070
2009-01-01T00:00:00.000Z,38214
2009-02-01T00:00:00.000Z,39014
2009-03-01T00:00:00.000Z,39803
2009-04-01T00:00:00.000Z,40918
2009-05-01T00:00:00.000Z,42265
2009-06-01T00:00:00.000Z,43976
2009-07-01T00:00:00.000Z,45732
2009-08-01T00:00:00.000Z,47098
2009-09-01T00:00:00.000Z,48083
2009-10-01T00:00:00.000Z,54175
2009-11-01T00:00:00.000Z,55327
2009-12-01T00:00:00.000Z,56692
2010-01-01T00:00:00.000Z,58055
2010-02-01T00:00:00.000Z,59260
2010-03-01T00:00:00.000Z,60455
2010-04-01T00:00:00.000Z,61996
2010-05-01T00:00:00.000Z,63493
2010-06-01T00:00:00.000Z,65782
2010-07-01T00:00:00.000Z,67387
2010-08-01T00:00:00.000Z,68791
2010-09-01T00:00:00.000Z,70492
2010-10-01T00:00:00.000Z,72613
2010-11-01T00:00:00.000Z,75299
2010-12-01T00:00:00.000Z,77441
2011-01-01T00:00:00.000Z,80268
2011-02-01T00:00:00.000Z,82548
2011-03-01T00:00:00.000Z,84355
2011-04-01T00:00:00.000Z,85364
2011-05-01T00:00:00.000Z,87148
2011-06-01T00:00:00.000Z,88783
2011-07-01T00:00:00.000Z,90722
2011-08-01T00:00:00.000Z,93207
2011-09-01T00:00:00.000Z,95646
2011-10-01T00:00:00.000Z,97309
2011-11-01T00:00:00.000Z,99706
2011-12-01T00:00:00.000Z,101607
2012-01-01T00:00:00.000Z,103632
2012-02-01T00:00:00.000Z,105214
2012-03-01T00:00:00.000Z,112915
2012-04-01T00:00:00.000Z,113929
2012-05-01T00:00:00.000Z,115420
2012-06-01T00:00:00.000Z,117684
2012-07-01T00:00:00.000Z,120595
2012-08-01T00:00:00.000Z,123078
2012-09-01T00:00:00.000Z,125076
2012-10-01T00:00:00.000Z,127498
2012-11-01T00:00:00.000Z,129513
2012-12-01T00:00:00.000Z,132968
2013-01-01T00:00:00.000Z,135715
2013-02-01T00:00:00.000Z,137984
2013-03-01T00:00:00.000Z,140568
2013-04-01T00:00:00.000Z,142669
2013-05-01T00:00:00.000Z,145140
2013-06-01T00:00:00.000Z,149562
2013-07-01T00:00:00.000Z,151929
2013-08-01T00:00:00.000Z,154136
2013-09-01T00:00:00.000Z,155923
2013-10-01T00:00:00.000Z,157638
2013-11-01T00:00:00.000Z,159691
2013-12-01T00:00:00.000Z,161590
2014-01-01T00:00:00.000Z,163378
2014-02-01T00:00:00.000Z,164616
2014-03-01T00:00:00.000Z,166544
2014-04-01T00:00:00.000Z,167954
2014-05-01T00:00:00.000Z,169196
2014-06-01T00:00:00.000Z,170516
2014-07-01T00:00:00.000Z,172802
2014-08-01T00:00:00.000Z,174872
2014-09-01T00:00:00.000Z,176929
2014-10-01T00:00:00.000Z,178670
2014-11-01T00:00:00.000Z,180548
2014-12-01T00:00:00.000Z,182168
2015-01-01T00:00:00.000Z,183664
2015-02-01T00:00:00.000Z,184930
2015-03-01T00:00:00.000Z,186973
2015-04-01T00:00:00.000Z,188493
2015-05-01T00:00:00.000Z,189816
2015-06-01T00:00:00.000Z,191973
2015-07-01T00:00:00.000Z,194337
2015-08-01T00:00:00.000Z,195946
2015-09-01T00:00:00.000Z,197612
2015-10-01T00:00:00.000Z,199187
2015-11-01T00:00:00.000Z,200874
2015-12-01T00:00:00.000Z,202576
2016-01-01T00:00:00.000Z,204327
2016-02-01T00:00:00.000Z,205733
2016-03-01T00:00:00.000Z,207654
2016-04-01T00:00:00.000Z,209525
2016-05-01T00:00:00.000Z,211563
2016-06-01T00:00:00.000Z,213151
2016-07-01T00:00:00.000Z,215254
2016-08-01T00:00:00.000Z,218011
2016-09-01T00:00:00.000Z,219646
2016-10-01T00:00:00.000Z,222092
2016-11-01T00:00:00.000Z,224595
2016-12-01T00:00:00.000Z,226244
2017-01-01T00:00:00.000Z,227951
2017-02-01T00:00:00.000Z,229675
2017-03-01T00:00:00.000Z,232811
2017-04-01T00:00:00.000Z,235647
2017-05-01T00:00:00.000Z,237840
2017-06-01T00:00:00.000Z,241613
2017-07-01T00:00:00.000Z,243694
2017-08-01T00:00:00.000Z,244961
2017-09-01T00:00:00.000Z,246652
2017-10-01T00:00:00.000Z,248672
2017-11-01T00:00:00.000Z,250648
2017-12-01T00:00:00.000Z,253747
2018-01-01T00:00:00.000Z,257181
2018-02-01T00:00:00.000Z,260588
2018-03-01T00:00:00.000Z,263285
2018-04-01T00:00:00.000Z,265292
2018-05-01T00:00:00.000Z,267438
2018-06-01T00:00:00.000Z,269365
2018-07-01T00:00:00.000Z,271761
2018-08-01T00:00:00.000Z,274613
2018-09-01T00:00:00.000Z,277654
2018-10-01T00:00:00.000Z,280764
2018-11-01T00:00:00.000Z,283823
2018-12-01T00:00:00.000Z,287372
2019-01-01T00:00:00.000Z,290137
2019-02-01T00:00:00.000Z,292579