month,total.total
2001-01-01T00:00:00.000Z,0
2001-02-01T00:00:00.000Z,0
2001-03-01T00:00:00.000Z,0
2001-04-01T00:00:00.000Z,0
2001-05-01T00:00:00.000Z,0
2001-06-01T00:00:00.000Z,0
2001-07-01T00:00:00.000Z,0
2001-08-01T00:00:00.000Z,0
2001-09-01T00:00:00.000Z,0
2001-10-01T00:00:00.000Z,0
2001-11-01T00:00:00.000Z,0
2001-12-01T00:00:00.000Z,0
2002-01-01T00:00:00.000Z,0
2002-02-01T00:00:00.000Z,0
2002-03-01T00:00:00.000Z,0
2002-04-01T00:00:00.000Z,0
2002-05-01T00:00:00.000Z,0
2002-06-01T00:00:00.000Z,0
2002-07-01T00:00:00.000Z,0
2002-08-01T00:00:00.000Z,0
2002-09-01T00:00:00.000Z,0
2002-10-01T00:00:00.000Z,0
2002-11-01T00:00:00.000Z,0
2002-12-01T00:00:00.000Z,0
2003-01-01T00:00:00.000Z,0
2003-02-01T00:00:00.000Z,0
2003-03-01T00:00:00.000Z,0
2003-04-01T00:00:00.000Z,0
2003-05-01T00:00:00.000Z,0
2003-06-01T00:00:00.000Z,0
2003-07-01T00:00:00.000Z,0
2003-08-01T00:00:00.000Z,0
2003-09-01T00:00:00.000Z,0
2003-10-01T00:00:00.000Z,0
2003-11-01T00:00:00.000Z,0
2003-12-01T00:00:00.000Z,0
2004-01-01T00:00:00.000Z,2
2004-02-01T00:00:00.000Z,4
2004-03-01T00:00:00.000Z,25
2004-04-01T00:00:00.000Z,145
2004-05-01T00:00:00.000Z,336
2004-06-01T00:00:00.000Z,360
2004-07-01T00:00:00.000Z,367
2004-08-01T00:00:00.000Z,371
2004-09-01T00:00:00.000Z,375
2004-10-01T00:00:00.000Z,381
2004-11-01T00:00:00.000Z,388
2004-12-01T00:00:00.000Z,429
2005-01-01T00:00:00.000Z,435
2005-02-01T00:00:00.000Z,439
2005-03-01T00:00:00.000Z,444
2005-04-01T00:00:00.000Z,464
2005-05-01T00:00:00.000Z,480
2005-06-01T00:00:00.000Z,484
2005-07-01T00:00:00.000Z,533
2005-08-01T00:00:00.000Z,859
2005-09-01T00:00:00.000Z,936
2005-10-01T00:00:00.000Z,1023
2005-11-01T00:00:00.000Z,1210
2005-12-01T00:00:00.000Z,1277
2006-01-01T00:00:00.000Z,1310
2006-02-01T00:00:00.000Z,1349
2006-03-01T00:00:00.000Z,1395
2006-04-01T00:00:00.000Z,1456
2006-05-01T00:00:00.000Z,1656
2006-06-01T00:00:00.000Z,2292
2006-07-01T00:00:00.000Z,3271
2006-08-01T00:00:00.000Z,4072
2006-09-01T00:00:00.000Z,5033
2006-10-01T00:00:00.000Z,5721
2006-11-01T00:00:00.000Z,6376
2006-12-01T00:00:00.000Z,6969
2007-01-01T00:00:00.000Z,7872
2007-02-01T00:00:00.000Z,9060
2007-03-01T00:00:00.000Z,9672
2007-04-01T00:00:00.000Z,10253
2007-05-01T00:00:00.000Z,10692
2007-06-01T00:00:00.000Z,11262
2007-07-01T00:00:00.000Z,11627
2007-08-01T00:00:00.000Z,11950
2007-09-01T00:00:00.000Z,12213
2007-10-01T00:00:00.000Z,12467
2007-11-01T00:00:00.000Z,12684
2007-12-01T00:00:00.000Z,13017
2008-01-01T00:00:00.000Z,13306
2008-02-01T00:00:00.000Z,13676
2008-03-01T00:00:00.000Z,14180
2008-04-01T00:00:00.000Z,14379
2008-05-01T00:00:00.000Z,14586
2008-06-01T00:00:00.000Z,14812
2008-07-01T00:00:00.000Z,15100
2008-08-01T00:00:00.000Z,15825
2008-09-01T00:00:00.000Z,16342
2008-10-01T00:00:00.000Z,16904
2008-11-01T00:00:00.000Z,17445
2008-12-01T00:00:00.000Z,17925
2009-01-01T00:00:00.000Z,18517
2009-02-01T00:00:00.000Z,18838
2009-03-01T00:00:00.000Z,19297
2009-04-01T00:00:00.000Z,19663
2009-05-01T00:00:00.000Z,20094
2009-06-01T00:00:00.000Z,20368
2009-07-01T00:00:00.000Z,20802
2009-08-01T00:00:00.000Z,21331
2009-09-01T00:00:00.000Z,21703
2009-10-01T00:00:00.000Z,22233
2009-11-01T00:00:00.000Z,27997
2009-12-01T00:00:00.000Z,28923
2010-01-01T00:00:00.000Z,29645
2010-02-01T00:00:00.000Z,30327
2010-03-01T00:00:00.000Z,31268
2010-04-01T00:00:00.000Z,32573
2010-05-01T00:00:00.000Z,33301
2010-06-01T00:00:00.000Z,33878
2010-07-01T00:00:00.000Z,34102
2010-08-01T00:00:00.000Z,34646
2010-09-01T00:00:00.000Z,35459
2010-10-01T00:00:00.000Z,36133
2010-11-01T00:00:00.000Z,36213
2010-12-01T00:00:00.000Z,36525
2011-01-01T00:00:00.000Z,37531
2011-02-01T00:00:00.000Z,38617
2011-03-01T00:00:00.000Z,38781
2011-04-01T00:00:00.000Z,39042
2011-05-01T00:00:00.000Z,39384
2011-06-01T00:00:00.000Z,39938
2011-07-01T00:00:00.000Z,40225
2011-08-01T00:00:00.000Z,40517
2011-09-01T00:00:00.000Z,40742
2011-10-01T00:00:00.000Z,40836
2011-11-01T00:00:00.000Z,40981
2011-12-01T00:00:00.000Z,41076
2012-01-01T00:00:00.000Z,41184
2012-02-01T00:00:00.000Z,41321
2012-03-01T00:00:00.000Z,41700
2012-04-01T00:00:00.000Z,42242
2012-05-01T00:00:00.000Z,44193
2012-06-01T00:00:00.000Z,46446
2012-07-01T00:00:00.000Z,47122
2012-08-01T00:00:00.000Z,48831
2012-09-01T00:00:00.000Z,50382
2012-10-01T00:00:00.000Z,53831
2012-11-01T00:00:00.000Z,57543
2012-12-01T00:00:00.000Z,62092
2013-01-01T00:00:00.000Z,64921
2013-02-01T00:00:00.000Z,67100
2013-03-01T00:00:00.000Z,68849
2013-04-01T00:00:00.000Z,69438
2013-05-01T00:00:00.000Z,71107
2013-06-01T00:00:00.000Z,73312
2013-07-01T00:00:00.000Z,74545
2013-08-01T00:00:00.000Z,76836
2013-09-01T00:00:00.000Z,78036
2013-10-01T00:00:00.000Z,78827
2013-11-01T00:00:00.000Z,79619
2013-12-01T00:00:00.000Z,80233
2014-01-01T00:00:00.000Z,81571
2014-02-01T00:00:00.000Z,83271
2014-03-01T00:00:00.000Z,113230
2014-04-01T00:00:00.000Z,139278
2014-05-01T00:00:00.000Z,140767
2014-06-01T00:00:00.000Z,141663
2014-07-01T00:00:00.000Z,142686
2014-08-01T00:00:00.000Z,143698
2014-09-01T00:00:00.000Z,144717
2014-10-01T00:00:00.000Z,153569
2014-11-01T00:00:00.000Z,155778
2014-12-01T00:00:00.000Z,157699
2015-01-01T00:00:00.000Z,159566
2015-02-01T00:00:00.000Z,162656
2015-03-01T00:00:00.000Z,180925
2015-04-01T00:00:00.000Z,184390
2015-05-01T00:00:00.000Z,187507
2015-06-01T00:00:00.000Z,190479
2015-07-01T00:00:00.000Z,193216
2015-08-01T00:00:00.000Z,201125
2015-09-01T00:00:00.000Z,210047
2015-10-01T00:00:00.000Z,225277
2015-11-01T00:00:00.000Z,255066
2015-12-01T00:00:00.000Z,263263
2016-01-01T00:00:00.000Z,289734
2016-02-01T00:00:00.000Z,299239
2016-03-01T00:00:00.000Z,303282
2016-04-01T00:00:00.000Z,308904
2016-05-01T00:00:00.000Z,328140
2016-06-01T00:00:00.000Z,337602
2016-07-01T00:00:00.000Z,348156
2016-08-01T00:00:00.000Z,356370
2016-09-01T00:00:00.000Z,367762
2016-10-01T00:00:00.000Z,382734
2016-11-01T00:00:00.000Z,386997
2016-12-01T00:00:00.000Z,388861
2017-01-01T00:00:00.000Z,390397
2017-02-01T00:00:00.000Z,425675
2017-03-01T00:00:00.000Z,438647
2017-04-01T00:00:00.000Z,441797
2017-05-01T00:00:00.000Z,446264
2017-06-01T00:00:00.000Z,457721
2017-07-01T00:00:00.000Z,474068
2017-08-01T00:00:00.000Z,478853
2017-09-01T00:00:00.000Z,481640
2017-10-01T00:00:00.000Z,483379
2017-11-01T00:00:00.000Z,485683
2017-12-01T00:00:00.000Z,487991
2018-01-01T00:00:00.000Z,490970
2018-02-01T00:00:00.000Z,506932
2018-03-01T00:00:00.000Z,524305
2018-04-01T00:00:00.000Z,528431
2018-05-01T00:00:00.000Z,536318
2018-06-01T00:00:00.000Z,539548
2018-07-01T00:00:00.000Z,544391
2018-08-01T00:00:00.000Z,550180
2018-09-01T00:00:00.000Z,555478
2018-10-01T00:00:00.000Z,562238
2018-11-01T00:00:00.000Z,566323
2018-12-01T00:00:00.000Z,573101
2019-01-01T00:00:00.000Z,577801
2019-02-01T00:00:00.000Z,581034